habitat,slope
boulder,-3.3366905692754827
boulder,-3.359735618062906
boulder,-3.0624786290566033
boulder,-3.2298469627329784
boulder,-2.7686937389979565
boulder,-2.6034285122344287
boulder,-3.74183722927896
boulder,-3.110347017882615
boulder,-3.6172559785643905
boulder,-3.349627404945198
detritus,-2.8655314348282226
detritus,-3.1170963158114895
detritus,-2.9136844120381347
detritus,-2.611144094904128
detritus,-2.560624054815972
detritus,-2.6065095790792894
detritus,-2.6857981256502947
detritus,-2.7346959896286416
detritus,-3.2608147702948975
detritus,-2.960001756532414
detritus,-3.0068878110028803
detritus,-2.522089780376148
detritus,-2.929551164671756
detritus,-3.032761515195732
detritus,-2.771624359990661
detritus,-3.15219970176786
detritus,-2.9436964910759813
detritus,-2.588427139203373
detritus,-3.2248311959436164
detritus,-2.3523969030246263
detritus,-3.208779731792078
detritus,-3.3650840612740844
detritus,-3.3862408627874965
detritus,-3.0868747725648964
detritus,-2.8301602771703247
detritus,-2.8667237382147297
detritus,-2.7749577504371348
detritus,-2.3819988826582934
detritus,-2.8245802704588256
detritus,-2.478372424349146
detritus,-2.821119504386236
detritus,-2.627523465706199
detritus,-3.297656462019115
detritus,-2.856302609468907
detritus,-3.318779468369596
detritus,-3.0367819278567074
detritus,-3.047680176581585
detritus,-3.5079334800809954
detritus,-3.2048024186177577
detritus,-3.1400686117491743
detritus,-2.491274409069852
detritus,-2.562239275378276
detritus,-3.393961837452958
detritus,-3.8045587006656625
detritus,-3.2379400893191423
detritus,-3.334919544910227
detritus,-2.980665452977797
detritus,-2.5118567309404827
detritus,-2.9530354605826927
detritus,-3.0816834152649633
detritus,-2.915893086162943
detritus,-2.9017881033289474
detritus,-3.103525467582824
detritus,-3.4255002574582964
detritus,-3.6323827925126477
detritus,-2.724816542859366
detritus,-3.3380774246529503
detritus,-3.1150543707229783
detritus,-2.7553369984319396
detritus,-2.576354244696872
detritus,-2.9439201249536153
detritus,-2.9010643433146655
detritus,-2.9056052478242695
detritus,-2.3243911131073176
detritus,-2.391099052247362
detritus,-2.3745144085107177
detritus,-3.5430034875896115
detritus,-3.5122711667567774
detritus,-2.8169352762175386
detritus,-3.1224177845626215
detritus,-2.6050699200481175
detritus,-3.1035864012250234
detritus,-2.8921597440733047
detritus,-2.9829430659605523
detritus,-2.2264678152681494
detritus,-3.637727574574887
detritus,-3.161226634115402
detritus,-2.6226616404266427
detritus,-2.927862398027858
detritus,-2.380995634319333
detritus,-3.066088065112762
detritus,-3.600689781530086
detritus,-2.8787643012265933
detritus,-2.92411024934822
detritus,-3.561613832119225
detritus,-2.630591541352742
detritus,-3.796047394804902
detritus,-3.7539802389211303
detritus,-4.250146875970248
detritus,-4.201181917214665
detritus,-3.454428795695758
detritus,-2.7394635749825773
detritus,-2.6766220147594035
detritus,-2.311220081726464
detritus,-3.3542228701342194
detritus,-2.9408504087610856
detritus,-2.609583030034113
detritus,-3.0739169508101747
detritus,-3.487307004853664
detritus,-2.6906702515258827
detritus,-3.151242545845902
detritus,-3.040506971199376
detritus,-3.388528391910924
detritus,-3.0572468692373675
detritus,-3.15449429319512
detritus,-2.6916477360118582
detritus,-2.850903853496681
detritus,-2.6122116832541407
detritus,-2.644524265284421
detritus,-2.781428271336589
detritus,-3.16031351665506
detritus,-3.211065605916912
detritus,-3.7556984951829206
detritus,-3.5492962373764367
detritus,-4.032419810906935
detritus,-3.764943890396596
detritus,-2.871876245603043
detritus,-3.339412887689734
detritus,-3.2348279089963805
detritus,-3.2270704039657248
detritus,-2.342985531506498
detritus,-2.829684325992296
detritus,-3.8541439721977278
detritus,-3.8567044103655377
detritus,-3.4287576206898067
detritus,-3.0243280109619053
detritus,-2.5917957360094226
detritus,-2.952797443316447
detritus,-3.119356069447159
detritus,-3.1838170906366736
detritus,-3.4520107049831625
detritus,-3.3518645883261393
detritus,-2.9757182939421876
detritus,-2.3200195546029674
detritus,-3.367976402115722
detritus,-3.723241020121494
detritus,-3.447742233622252
detritus,-3.3216570337798403
detritus,-3.5092670281720886
detritus,-2.7366930772015587
detritus,-3.2932060581335656
detritus,-3.050759522960085
detritus,-2.7769754840448644
detritus,-2.60676319532091
detritus,-3.280678950036651
detritus,-3.3408764005364406
detritus,-2.6323076572924475
detritus,-2.5291283398093647
detritus,-3.616341506539879
detritus,-3.599653481472752
detritus,-2.549101320978651
detritus,-3.0103640421407336
detritus,-3.2902034034225185
detritus,-3.290663211939919
detritus,-3.263521413656182
detritus,-2.9489227170374575
detritus,-3.2813685897215894
detritus,-3.7045758138577574
detritus,-2.924350262608137
detritus,-3.1343165081222715
detritus,-3.29063080018566
detritus,-3.2357260393411753
detritus,-2.539344938438059
detritus,-2.6539148455461943
detritus,-3.413942320474541
detritus,-2.7955517294097363
detritus,-3.468069437418873
detritus,-2.7111803785229696
detritus,-3.0839635509480563
detritus,-2.809051609588382
detritus,-2.7494975966305932
detritus,-2.989289149882087
detritus,-2.78112066351437
detritus,-2.8416919227967896
detritus,-2.6292246372085435
detritus,-2.7529425889687142
detritus,-2.9953806213109027
detritus,-2.8544236487462764
detritus,-3.229741981625566
detritus,-2.709159072641704
detritus,-3.1672695872153653
detritus,-3.089605533152638
detritus,-2.9097219246044297
detritus,-2.505882629019053
detritus,-2.7432554279002916
detritus,-2.695993105439221
detritus,-2.8066831656804525
detritus,-2.8007193752733395
detritus,-2.4463352563758742
detritus,-2.618088279427528
detritus,-2.9009677706914747
detritus,-3.1545456397268024
detritus,-2.8178178910493927
detritus,-2.894694913833225
detritus,-3.2280313786432866
detritus,-3.315458744168023
detritus,-3.149055109235975
detritus,-3.50078132781023
detritus,-2.7875679083029925
detritus,-3.0379133874477184
detritus,-2.88878549248887
detritus,-2.990365349129484
detritus,-3.0453564327775013
detritus,-2.7799718068136765
detritus,-2.3860780837382407
detritus,-2.5707820678001103
detritus,-2.905947701276889
detritus,-2.985588450559658
detritus,-2.8521423385290157
detritus,-3.2047295028814617
detritus,-2.8645294245608457
detritus,-3.2742254415335004
detritus,-3.185040244748142
detritus,-3.48097981746659
detritus,-3.369073806527142
detritus,-3.971206446007499
detritus,-3.1468900495994263
detritus,-3.2539873735883047
detritus,-2.921207147856131
detritus,-3.0257452096311277
detritus,-2.7773488226098664
detritus,-2.7731231063715582
detritus,-2.9928040035221484
detritus,-2.671583942978121
detritus,-3.182522691473815
detritus,-2.9622099067113044
detritus,-2.850063631059717
detritus,-3.1186483094425794
detritus,-2.7434017723132538
detritus,-2.703207281609806
detritus,-3.5341421469473606
detritus,-2.873804472158481
detritus,-3.131620572404211
detritus,-2.6991867146027615
detritus,-2.9415318021161534
detritus,-3.0711146908915405
detritus,-3.0715869239075393
detritus,-2.8947335727050523
detritus,-3.346968533853622
detritus,-2.8100201028940046
detritus,-3.246780918899249
detritus,-2.8404080015248234
detritus,-3.389339000577668
detritus,-3.4524440886460366
detritus,-3.4535332459642722
detritus,-3.155310626892082
gravel,-3.644649762767209
gravel,-3.7416912427131876
gravel,-3.689957521084652
gravel,-3.59796407645872
gravel,-3.7306031927362344
gravel,-3.0732675483138254
gravel,-3.5682462715792207
gravel,-3.437656659144997
gravel,-3.4358279404179686
gravel,-3.7529986734322707
gravel,-3.1506089596567026
gravel,-3.6097442918352383
gravel,-3.8015050440220897
gravel,-2.86966797622485
gravel,-3.3859636164893887
gravel,-3.0949551501050845
gravel,-3.584458814259106
gravel,-3.571537360910011
gravel,-3.9439367405814783
gravel,-3.8221579892541833
gravel,-3.6660755924822737
gravel,-3.5664913609906854
gravel,-3.207057660968522
gravel,-3.0490133920650964
gravel,-3.8643683793450774
gravel,-3.891252917526721
gravel,-3.392506450947816
gravel,-3.3584023087116424
gravel,-4.066257995988058
gravel,-3.9560657816552727
gravel,-3.241313191059017
gravel,-3.5176458416278886
gravel,-3.8305891756014296
gravel,-3.688317344608478
gravel,-3.084401094774547
gravel,-3.199474079430036
gravel,-3.689079552571115
gravel,-3.885957313725386
gravel,-3.775590818657907
gravel,-3.736976139335721
gravel,-3.945370947188733
gravel,-4.317856785861884
gravel,-3.6012872073735482
gravel,-3.5912011705929867
gravel,-3.6317853481242466
gravel,-3.3536799363154053
gravel,-3.832656280698701
gravel,-3.858194424713449
gravel,-3.5511071969895194
gravel,-3.4911584635364843
gravel,-3.299215089123506
gravel,-2.977961275355998
gravel,-3.752123446196238
gravel,-3.5329350016677648
gravel,-2.811695708797865
gravel,-2.9099937685193966
